Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,Fault_label
2022-05-01,04.25.18.00,Data Log,Log Period,-0.3,0.9,0.0,33.7,30.0,184193.4,56002.8,44172.8,282487.8,0.0,0.0,366682.3,16227.3,75515.6,206925.2,NORMAL
2022-05-01,04.35.22.00,Data Log,Log Period,-0.3,0.8,0.0,33.7,30.0,184193.4,56002.8,44172.8,282488.1,0.0,0.0,366682.5,16227.3,75515.6,206925.2,NORMAL
2022-05-01,04.45.26.00,Data Log,Log Period,-0.4,0.8,0.0,33.6,29.0,184193.4,56002.9,44172.8,282488.2,0.0,0.0,366682.6,16227.4,75515.6,206925.2,NORMAL
2022-05-01,04.55.30.00,Data Log,Log Period,-0.3,1.0,0.0,33.2,30.0,184193.4,56002.9,44172.8,282488.5,0.0,0.0,366682.8,16227.5,75515.6,206925.2,NORMAL
2022-05-01,05.05.34.00,Data Log,Log Period,-0.3,0.9,0.0,33.2,30.0,184193.4,56003.0,44172.8,282488.7,0.0,0.0,366682.9,16227.5,75515.6,206925.2,NORMAL
2022-05-01,05.15.38.00,Data Log,Log Period,-0.3,1.4,0.0,33.1,30.0,184193.4,56003.0,44172.8,282488.9,0.0,0.0,366683.1,16227.6,75515.6,206925.2,NORMAL
2022-05-01,05.25.42.00,Data Log,Log Period,-0.3,0.9,0.0,33.0,30.0,184193.4,56003.1,44172.8,282489.1,0.0,0.0,366683.3,16227.7,75515.6,206925.2,NORMAL
2022-05-01,05.35.44.00,Data Log,Log Period,-0.3,0.9,0.0,32.9,30.0,184193.4,56003.1,44172.8,282489.3,0.0,0.0,366683.4,16227.8,75515.6,206925.2,NORMAL
2022-05-01,05.45.48.02,Data Log,Log Period,-0.4,0.7,0.0,32.8,30.0,184193.4,56003.2,44172.8,282489.5,0.0,0.0,366683.6,16227.8,75515.6,206925.2,NORMAL
2022-05-01,05.55.52.00,Data Log,Log Period,-0.3,0.6,0.0,32.8,31.0,184193.4,56003.2,44172.8,282489.7,0.0,0.0,366683.7,16227.9,75515.6,206925.2,NORMAL
2022-05-01,06.05.56.00,Data Log,Log Period,-0.2,0.6,0.0,32.8,34.0,184193.4,56003.3,44172.8,282489.8,0.0,0.0,366683.8,16228.0,75515.6,206925.2,NORMAL
2022-05-01,06.16.00.00,Data Log,Log Period,-0.3,0.4,0.0,32.6,39.0,184193.4,56003.3,44172.8,282489.9,0.0,0.0,366683.9,16228.0,75515.6,206925.2,NORMAL
2022-05-01,06.26.04.00,Data Log,Log Period,-0.3,0.4,0.1,32.5,46.0,184193.4,56003.4,44172.8,282490.0,0.0,0.0,366683.9,16228.1,75515.6,206925.2,NORMAL
2022-05-01,06.36.08.00,Data Log,Log Period,-0.3,0.4,0.3,32.3,61.0,184193.4,56003.4,44172.8,282490.2,0.0,0.0,366684.0,16228.1,75515.6,206925.2,NORMAL
2022-05-01,06.46.12.00,Data Log,Log Period,-0.3,0.4,0.7,32.4,87.0,184193.4,56003.5,44172.8,282490.3,0.0,0.0,366684.1,16228.1,75515.6,206925.3,NORMAL
2022-05-01,06.56.16.01,Data Log,Log Period,-0.4,0.2,1.0,32.5,110.0,184193.4,56003.5,44172.8,282490.4,0.0,0.0,366684.1,16228.1,75515.6,206925.4,NORMAL
2022-05-01,07.06.20.00,Data Log,Log Period,-0.3,0.4,1.4,32.9,129.0,184193.4,56003.6,44172.8,282490.5,0.0,0.0,366684.2,16228.1,75515.7,206925.6,NORMAL
2022-05-01,07.16.24.00,Data Log,Log Period,-0.3,0.4,1.7,32.9,152.0,184193.4,56003.6,44172.8,282490.6,0.0,0.0,366684.3,16228.1,75515.9,206925.9,NORMAL
